"Product Code","Product Title","Picture","Description","Category","Sub-Category","Retail Price","VAT Code","Tags","Sizes"
,,,,,,,,"Globe",
,,,,,,,,"Theatre",
,,,,,,,,"Silver",
,,,,,,,,,
46328778,"Rose Ring","rose ring","Sterling silver copy of a posy ring found in the archeological excavation of the Rose Theatre. The inscription reads ‘think of me’ in Old French. Presented in a gift box.","Gifts","Jewellery","£14,00",1,"Ring","Y"
,,,"Sizes: Small (approx. 16mm diametre, UK size K, US size 5.5), Medium (approx. 18mm diametre, UK size P, US size 8), Large (approx. 20mm diametre, UK size U, US size 10.5)",,,,,"Silver",
,,,,,,,,"Rose",
,,,,,,,,"Replica",
,,,,,,,,,
6655995,"The Merry Wives of Windsor CD","merry cd 1","Music from the acclaimed 2009 Globe Theatre production of The Merry Wives of Windsor.","CD","Globe Music","£9,00",1,"CD","N"
,,,"Peformed by The Shakespeare's Globe Actors and Musicians.",,,,,"Music",
,,,"Composed by Nigel Hess.",,,,,"Merry",
,,,"Total running time: 32:05 minutes",,,,,"Windsor",
,,,,,,,,"Globe",
,,,,,,,,,
809478010425,"Shakespeare's Globe DVD Box Set","boxset 2","Box set of three multi regional DVDs of acclaimed Globe productions from the 2009 season.  Set includes stage productions of  'Love's Labours Lost', 'As You Like It' and 'Romeo & Juliet'.","DVD","Globe DVD","£44,99",1,"DVD","N"
,,,,,,,,"Film",
,,,,,,,,"Romeo",
,,,,,,,,"Juliet",
,,,,,,,,"As You Like It",
,,,,,,,,"Love",
,,,,,,,,"Lost",
,,,,,,,,"Globe",
,,,,,,,,,
5060039040229,"Shakespeare's Globe Othello DVD","ophelia dvd","DVD of the 2007 production of Othello performed at Shakespeare's Globe Theatre. Full length performance starring Eamonn Walker as Othello and Tim McInnerny as Iago. Directed by Wilson Milam.","DVD","Globe DVD","£19,99",1,"DVD","N"
,,,"Available as region 2 only.",,,,,"Othello",
,,,,,,,,"Globe",
,,,,,,,,"Film",
,,,,,,,,,
809478010326,"Shakespeare's Globe As You Like It DVD","As dvd","Thea Sharrock's irresistible 2009 production of Shakespeare's popular romantic comedy stirs wit, sentiment, intrigue and love into a charming confection which challenges the traditional rules of romance. At its heart, a feisty but feminine Rosalind (Naomi Frederick), in love with the endearingly naïve Orlando (Jack Laskey), uses her disguise as Ganymede to counsel him playfully in the art of wooing. Distraction is provided by Dominic Rowan, a remarkably funny Touchstone, and Tim McMullan, whose sonorous tones are perfectly suited to the lugubrious wit of Jaques. Filmed in High Definition and true surround sound.","DVD","Globe DVD","£19,99",1,"DVD","N"
,,,"Multi-region",,,,,"As You Like It",
,,,,,,,,"Globe",
,,,,,,,,"Film",
,,,,,,,,,
809478010357,"Shakespeare's Globe Love’s Labour’s Lost DVD","LLL dvd","DVD of the 2009 performance of Love's Labour's Lost, filmed at Shakespeare's Globe Theatre. When the King of Navarre and his three courtiers forswear all pleasure - particularly of the female variety - in favour of a life of study, the arrival of the Princess of France and her ladies plays havoc with their intentions. Using every kind of verbal gymnastics to poke fun, Shakespeare's most intellectual comedy is brought to hilarious life in this highly entaining production, rich in visual humour and sexual innuendo.
Filmed live in High Definition and true surround sound.
","DVD","Globe DVD","£19,99",1,"DVD","N"
,,,"Multi-region",,,,,"Film",
,,,,,,,,"Love",
,,,,,,,,"Lost",
,,,,,,,,"Globe",
,,,,,,,,,
809478010296,"Shakespeare's Globe Romeo and Juliet DVD","R&J dvd","Dominic Dromgoole’s production brings refreshing clarity to one of Shakespeare’s most famous and best-loved tragedies, drawing out the contemporary relevance of this passionate teenage love story. Ellie Kendrick, a truly youthful Juliet, and Adetomiwa Edun, a boyish Romeo, head an excellent cast whose period costumes point to the timelessness of parental disapproval, adolescent temperament, rivalry and violence. Filmed before a live audience at Shakespeare’s Globe in the heart of London, its intimate and atmospheric setting adds immediacy and vitality to the humour and passion of Shakespeare’s verse. Filmed in High Definition and true surround sound","DVD","Globe DVD","£19,99",1,"DVD","N"
,,,"Multi-region",,,,,"Film",
,,,,,,,,"Globe",
,,,,,,,,"Romeo",
,,,,,,,,"Juliet",
,,,,,,,,"Love",
,,,,,,,,,
10000773,"Quoting Shakespeare Poster","quoting","Bernard Levin’s famous collection of well-known sayings and phrases that have been attributed to Shakespeare is reproduced on this poster.","Poster","Poster","£8,00",1,"Poster","N"
,,,"Size: 410mm x 590mm",,,,,"Quote",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Shakespeare",
,,,,,,,,,
10000775,"Timeline Poster","timeline poster","The Timeline Poster spans the years 1552-1642, with historical events printed in red and the dates that Shakespeare’s plays were written in black.","Poster","Poster","£6,00",1,"Poster","N"
,,,"Size: 300mm x 770mm",,,,,"Timeline",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Shakespeare",
,,,,,,,,"Globe",
,,,,,,,,,
296,"2011 Theatre Season Poster",,"Poster to celebrate the 2011 Shakespeare's Globe Theatre season, 'The Word is God'","Poster","Poster","£6,00",1,"Poster","N"
,,,"Size: 410mm x 590mm",,,,,"Theatre",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Globe",
,,,,,,,,,
10000771,"Panoramic Poster","pan poster","Fabulous photographic panorama of the Shakespeare’s Globe theatre stage. Features the colourful ‘heavens’.","Poster","Poster","£8,00",1,"Poster","N"
,,,"Size:  440mm x1000mm",,,,,"Globe",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Stage",
,,,,,,,,,
9780712350334,"Romeo and Juliet Folio","R&J folio","Beautifully bound reproduction of Romeo and Juliet from Shakespeare's First Folio. ","Books","Globe Books (Folio)","£12,99",0,"Folio","N"
,,,"The First Folio is the term applied by modern scholars to the first published collection of Shakespeare's plays as Mr. William Shakespeare’s Comedies, Histories & Tragedies. Printed in folio format and containing 36 plays, it was first published in 1623. ",,,,,"Globe",
,,,"Although eighteen of Shakespeare's plays had been published in quarto prior to 1623, the First Folio is the only reliable text for about twenty of the plays.",,,,,"Romeo",
,,,"Hardback",,,,,"Juliet",
,,,,,,,,"Play",
,,,,,,,,"Replica",
,,,,,,,,,
9781902037097,"Macbeth Folio","macbeth folio","Beautifully bound reproduction of Macbeth from Shakespeare's First Folio. ","Books","Globe Books (Folio)","£12,99",0,"Folio","N"
,,,"The First Folio is the term applied by modern scholars to the first published collection of Shakespeare's plays as Mr. William Shakespeare’s Comedies, Histories & Tragedies. Printed in folio format and containing 36 plays, it was first published in 1623. ",,,,,"Globe",
,,,"Although eighteen of Shakespeare's plays had been published in quarto prior to 1623, the First Folio is the only reliable text for about twenty of the plays.",,,,,"Macbeth",
,,,"Hardback",,,,,"Play",
,,,,,,,,"Replica",
,,,,,,,,,
9781902037127,"Henry VIII Folio",,"Beautifully bound reproduction of Henry VIII from Shakespeare's First Folio. ","Books","Globe Books (Folio)","£12,99",0,"Folio","N"
,,,"The First Folio is the term applied by modern scholars to the first published collection of Shakespeare's plays as Mr. William Shakespeare’s Comedies, Histories & Tragedies. Printed in folio format and containing 36 plays, it was first published in 1623. ",,,,,"Globe",
,,,"Although eighteen of Shakespeare's plays had been published in quarto prior to 1623, the First Folio is the only reliable text for about twenty of the plays.",,,,,"Henry",
,,,"Hardback",,,,,"Play",
,,,,,,,,"Replica",
,,,,,,,,,
9781902037103,"Henry IV part 1 Folio","henry 1 folio","Beautifully bound reproduction of Henry IV, part 1 from Shakespeare's First Folio. ","Books","Globe Books (Folio)","£12,99",0,"Folio","N"
,,,"The First Folio is the term applied by modern scholars to the first published collection of Shakespeare's plays as Mr. William Shakespeare’s Comedies, Histories & Tragedies. Printed in folio format and containing 36 plays, it was first published in 1623. ",,,,,"Globe",
,,,"Although eighteen of Shakespeare's plays had been published in quarto prior to 1623, the First Folio is the only reliable text for about twenty of the plays.",,,,,"Henry",
,,,"Hardback",,,,,"Play",
,,,,,,,,"Replica",
,,,,,,,,,
9781902037110,"Henry IV part 2 Folio","henry 2 folio","Beautifully bound reproduction of Henry IV, part 2 from Shakespeare's First Folio. ","Books","Globe Books (Folio)","£12,99",0,"Folio","N"
,,,"The First Folio is the term applied by modern scholars to the first published collection of Shakespeare's plays as Mr. William Shakespeare’s Comedies, Histories & Tragedies. Printed in folio format and containing 36 plays, it was first published in 1623. ",,,,,"Globe",
,,,"Although eighteen of Shakespeare's plays had been published in quarto prior to 1623, the First Folio is the only reliable text for about twenty of the plays.",,,,,"Henry",
,,,"Hardback",,,,,"Play",
,,,,,,,,"Replica",
,,,,,,,,,
9781902037042,"The Merry Wives of Windsor Folio","merry folio","Beautifully bound reproduction of The Merry Wives of Windsor from Shakespeare's First Folio. ","Books","Globe Books (Folio)","£12,99",0,"Folio","N"
,,,"The First Folio is the term applied by modern scholars to the first published collection of Shakespeare's plays as Mr. William Shakespeare’s Comedies, Histories & Tragedies. Printed in folio format and containing 36 plays, it was first published in 1623. ",,,,,"Globe",
,,,"Although eighteen of Shakespeare's plays had been published in quarto prior to 1623, the First Folio is the only reliable text for about twenty of the plays.",,,,,"Merry",
,,,"Hardback",,,,,"Windsor",
,,,,,,,,"Play",
,,,,,,,,"Replica",
,,,,,,,,,
9781902037059,"As You Like It Folio",,"Beautifully bound reproduction of As You Like It from Shakespeare's First Folio. ","Books","Globe Books (Folio)","£12,99",0,"Folio","N"
,,,"The First Folio is the term applied by modern scholars to the first published collection of Shakespeare's plays as Mr. William Shakespeare’s Comedies, Histories & Tragedies. Printed in folio format and containing 36 plays, it was first published in 1623. ",,,,,"Globe",
,,,"Although eighteen of Shakespeare's plays had been published in quarto prior to 1623, the First Folio is the only reliable text for about twenty of the plays.",,,,,"As You Like It",
,,,"Hardback",,,,,"Play",
,,,,,,,,"Replica",
,,,,,,,,,
9781902037165,"Goethe On Shakespeare","goethe","Bringing together Goethe's essays on Shakespeare in a single volume for the first time. The German texts appear opposite new translations by Michael Hofmann and David Constantine and are followed by an afterword by Professor Rudiger Gorner.","Books","Globe Books (Other)","£10,00",0,"Education","N"
,,,"A Globe Education Publication. Hardback",,,,,"Globe",
,,,,,,,,"German",
,,,,,,,,"Goethe",
,,,,,,,,,
9781902037905,"Shakespeare's Globe: The Guidebook","discovering","Your complete guide to Shakespeare’s Globe. A unique insight into the fascinating world that was and is Shakespeare’s famous theatre. Read about Shakespeare’s original theatre and the people behind it, understand the dramatic story of the rebuilding of the Globe and hear from our actors what it’s like to be on stage.","Books","Globe Books (Guidebooks)","£5,99",0,"Guide","N"
,,,"A Shakespeare’s Globe publication. Paperback",,,,,"Globe",
,,,,,,,,"Ticket",
,,,,,,,,,
9780521701662,"Shakespeare’s Globe: A Theatrical Experiment","theatrical exp","From 1997 Shakespeare’s Globe flourished once more on London's South Bank after an absence of four hundred years.  The playhouse is now a major attraction for theatergoers, scholars, tourists, teachers and students of all ages, who come to experience Shakespeare's plays and those of his contemporaries performed in their original conditions.","Books","Globe Books (Other)","£15,99",0,"Globe","N"
,,,"The team of artists and education specialists who made this happen come together here to reflect on their ten-year experiment.  Featuring an in-depth interview with former Artistic Director Mark Rylance.",,,,,"Shakespeare",
,,,"Paperback",,,,,"Theatre",
,,,,,,,,"Education",
,,,,,,,,,
9780141020075,"Will and Me","will and me","Shakespeare’s Globe’s Artistic Director, Dominic Dromgoole, recounts the story of his life through Shakespeare, and in turn tells us something of what Shakespeare can tell us about the world. Using his own encounters as a guide, Dromgoole shows how Shakespeare’s words on war, love, death, drunkenness, family, friendship and everything else reveals us to ourselves","Books","Other Biography","£8,99",0,"Globe","N"
,,,"Paperback",,,,,"Director",
,,,,,,,,"Biography",
,,,,,,,,,
2597,"All's Well That Ends Well Leather Keyring",,"Printed leather keyring with a chunky chain. Printed both sides","Gifts","Keyrings","£4,00",1,"Key","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"All's Well",
,,,,,,,,"Leather",
,,,,,,,,,
,,,,,,,,,
2764,"Doctor Faustus Leather Keyring",,"Printed leather keyring with a chunky chain. Printed both sides","Gifts","Keyrings","£4,00",1,"Key","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Faustus",
,,,,,,,,"Leather",
,,,,,,,,,
665747,"Macbeth 'Spot' Leather Keyring","spot keyring","""Out damned spot! Out I say!""","Gifts","Keyrings","£4,00",1,"Key","N"
,,,"Printed leather keyring with a chunky chain. Printed both sides",,,,,"Macbeth",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Blood",
,,,,,,,,"Leather",
,,,,,,,,"Halloween",
,,,,,,,,,
665749,"Hamlet Leather Keyring","to be keyring","""To be or not to be…""","Gifts","Keyrings","£4,00",1,"Key","N"
,,,"Printed leather keyring with a chunky chain. Printed both sides",,,,,"Hamlet",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Leather",
,,,,,,,,,
46887412,"Elizabethan Street Songs CD","street songs","A raw, rollicking, elemental and sometimes tender collection of Elizabethan street songs. A perfect introduction to early music, accessible and entertaining whilst being performed on period instruments by some of the UK's finest early musicians.
The disc uses modern studio techniques to capture the earthy atmosphere of 16th and 17th century street life that spans Elizabethan songs from the alehouse to the whore-house. An authentic collection of music played by early music band Tarleton's Jig.

","CD","Globe Music","£9,99",1,"Music","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Elizbethan",
,,,,,,,,"Jig",
