"NAME","ADDR 1","City","State","Zip","Phone#"
"CENTER STAGE II","3675 SATELLITE BLVD. SUITE 710","DULUTH","GA",30096,(770) 814-9500
"CENTERSTAGE","5012 UNIVERSITY WAY NE","SEATTLE","WA",98105,(206) 527-4697
"CENTERSTAGE DANCE APPAREL","1722 N. BELT WEST","BELLEVILLE","IL",62226,(618) 235-6032
"CENTRAL PARK DANCE","450 CENTRAL PARK AVE","SCARSDALE","NY",10583,(914) 723-2940
"CG DANCEWEAR","1049 DODD ROAD","WEST ST. PAUL","MN",55118,(651) 552-7392
"CHARLOTTE SCHOOL & BALLET BOUTIQUE","627 S. SHARON AMITY","CHARLOTTE","NC",28211,(704) 366-9675
"CHARLOTTE WEST BABY","100 MAIN STREET","MANASQUAN","NJ",08736,(732) 223-9400
"CHASING FIREFLIES","350 MIDLAND DRIVE","SEATTLE","WA",98188,(206) 574-4503
"CHAUETTE","7466 HUBBARD AVE","MIDDLETON","WI",53562,(608) 575-8412
"CHERI RAAB'S BODY SHOP","823 WASHINGTON ST.","PORT TOWNSEND","WA",98368,(360) 385-1341
"CHERRY CREEK DANCE","2625 EAST 3RD AVE","DENVER","CO",80206,(303) 399-8087
"CHIC BABY","5505 FM 1960 WEST STE 514","HOUSTON","TX",77069,(281) 397-8700
"CHILDREN'S BOUTIQUE","1702 WALNUT STREET","PHILADELPHIA","PA",19093,(215) 732-2661
"CHILDREN'S HOUR, THE","898 SOUTH 900 EAST","SALT LAKE CITY","UT",84102,(801) 359-4150
"CHILDREN'S SHOPPE, THE","325 SHARON PARK DRIVE","MENLO PARK","CA",94025,(650) 854-8854
"CHILDREN'S WONDERLAND","621 BARRINGTON AVE","LOS ANGELES","CA",90049,(310) 440-9970
"CHOICE CONNECTION, THE","68 GOODING AVE.","BRISTOL","RI",02809,(401) 253-0222
"CHORUS LINE","23300 CINEMA DRIVE #101","VALENCIA","CA","91355",(661) 253-0300
"CHURCH STREET TRADING COMPANY","4 RAILROAD STREET","GREAT BARRINGTON","MA",01230,
"CIAO BELLY","730 WASHINGTON AVE","HOBOKEN","NJ",07030,(201) 850-1853
"C-ING POLKADOTS","115 WEST 2ND STREET","OWENSBORO","KY",42303,(270) 240-4394
"CINNAMON TREE, THE","1108 HERNDON PARKWAY","HERNDON","VA",20170,(703) 435-3255
"CITY CHIC","342 YORKTOWN CENTER","LOMARD","IL",60148,(630) 932-4763
"CK and COMPANY","6419 AVONDALE DRIVE","OKLAHOMA CITY","OK",73116,(405) 843-7636
"CLASS ACT","3946 NE 5TH AVE","FT  LAUDERDALE","FL",33334,(954) 566-9825
"CLASSIC DANCEWEAR","5365 ROBIN HOOD ROAD SUITE E","WINSTON-SALEM","NC",27106,(336) 923-2585
"CLASSY KIDS","6 NORTH DEAN STREET","ENGLEWOOD","NJ",07631,(201) 568-2549
"CLAYTON'S SHOE STORE","108 WEST LINCOLN STREET","TULLAHOMA","TN",37388,(931) 455-2722
"CLOSTER BOOTERY","230 CLOSTER DOCK ROAD","CLOSTER","NJ",07624,(201) 768-0822
"COASTAL COOL","7986 EAST COAST HIGHWAY","NEW PORT COAST","CA",92660,(949) 706-1071
"COLUMBINE","101 TOWNE CENTER","CORTE MADERA","CA",94925,(415) 927-8884
"COMFORT FIT","104 LEE AVENUE","BROOKLYN","NY",11211,(718) 782-8001
"COMPETITOR'S CLOSET","1001 SANDY LANE","WARWICK","RI",02889,(401) 737-7447
"CONCEPT 3 INC","104 GREYSTONE POWER BLVD SUITE D","DALLAS","GA",30157,(678) 977-2930
"CONCEPTS IN DANCE","227 ROUTE 33 EAST, UNIT #2","MANALAPAN","NJ",07726,(888) 282-0333
"CONSERVATORY BOUTIQUE","16816 E. HWY. 40","INDEPENDENCE","MO",64055,(816) 373-3456
"CONTRA COSTA DANCE","554 YGNACIO VALLEY ROAD SUITE A","WALNUT CREEK","CA",94596,(925) 932-9660
"COQUETTE KIDWEAR","439 AVENUE U","BROOKLYN","NY",11223,(718) 627-7000
"CORDOVA DANCE WEAR ETC.","7990 TRINITY ROAD SUITE 127","CORDOVA","TN",38018,(901) 753-7375
"CORNER SHOE STORE, THE","1140 WEST MAIN SHOPPING CENTER","TUPELO","MS","38801",(662) 842-7965
"COSTUME CORNER","3820 SAN PABLO DAM ROAD SUITE A","EL SORRANTE","CA",94803,(510) 222-9200
"COSTUMES & DANCEWEAR","17330 SPRING CYPRESS SUITE 110","CYPRESS","TX","77429",(281) 758-3536
"COSTUMES & DANCEWEAR","1534 KINGWOOD DRIVE","KINGWOOD","TX","77339",(281) 913-0222
"COSTUMES & DANCEWEAR @ KATY","515 S. MASON ROAD","KATY","TX",77450,(281) 265-8044
"COSTUMES GALORE, INC","2080 LOOKOUT DRIVE","NORTH MANKATO","MN",53003,(507) 386-0207
"COTE D'AZURE","212 E. 47TH STREET","NEW YORK","NY",10017,(917) 912-9475
"COTTON TAILS","389 PERKINS EXT","MEMPHIS","TN",38117,(901) 685-8417
"COUNTRY COBBLER","1340 US HIGHWAY 206 SUITE 2","SKILLMAN","NJ",08558,(609) 683-4411
"CPW","495 AMSTERDAM AVE","NEW YORK","NY",10024,(212) 579-3737
"CREATIVE DANCEWEAR","705 W. HOLLY","BELLINGHAM","WA",98225,(360) 738-9406
"CREATIVE DANCEWEAR","9315 N. PENNSYLVANIA AVE","OKLAHOMA CITY","OK",73120,(405) 843-2545
"CREATIVE MOTION","420 SOUTH GROVE STREET","REEDSBURG","WI",53959,(608) 768-5678
"CRISTON'S DANCEWEAR","5516-A MLK BLVD","KILLEEN","TX",76543,(254) 526-6174
"CUPCAKE","641 4TH STREET","SANTA ROSA","CA",95404,(707) 579-2165
"CURRY SHOES INC. / DANCE BIZ","2535 NICHOLASVILLE RD","LEXINGTON","KY",40503,(859) 223-3400
"CUTIE PIES CHILDREN'S BOUTIQUE","5473 CHAMBLEE DUNWOODY ROAD","DUNWOODY","GA",30338,(770) 396-1392
"D BODY SHOP","2508 EAST MOCKINGBIRD LANE","VICTORIA","TX",77904,(361) 576-9664
"DAINTY BABY","3605 12TH AVE","BROOKLYN","NY",11218,(718) 305-7525
"DAISY'S DANCE & FITNESSWEAR","2635 MALL DR.","SARASOTA","FL",34231,(941) 924-8222
"DALLAS DANCEWEAR","670 PARKER SQUARE SUITE 204","FLOWER MOUND","TX",75028,(972) 899-9799
"DAMIENS DANCEWEAR INC","23 DRUMHILL ROAD","CHELMSFORD","MA",01824,(978) 459-7300
"DANCE","225 EAST COLLEGE AVE.","APPLETON","WI",54911,(920) 749-0305
"DANCE & BEYOND","1802 E. BARNETT RD.","MEDFORD","OR",97504,(541) 776-5027
"DANCE & SPORTS XPRESS LLC","11858 BRADBURN BLVD","WESTMINSTER","CO",80031,(303) 386-3203
"DANCE 101, INC.","2480 BRIARCLIFF ROAD SUITE 11","ATLANTA","GA",30329,(404) 542-3887
"DANCE AND MORE STORE","2115 MAIN DRIVE SUITE F","JOHNSON","AR",72704,(479) 595-8331
"DANCE BAG","7815 WEST CHESTER ROAD","WEST CHESTER","OH",45069,(513) 777-1155
"DANCE BAG, THE","14 WILSEY SQUARE","RIDGEWOOD","NJ",07450,(201) 444-6175
"DANCE BAG, THE","2221 MCHENRY AVE. SUITE G","MODESTO","CA",95350,(209) 571-0369
"DANCE BAG, THE","103 KIRKWOOD SQUARE","WILMINGTON","DE",19808,(302) 994-6722
"DANCE BAG, THE","314 MAIN STREET","BEACON","NY",12508,(845) 831-5813
"DANCE BAG, THE, LLC","17337 SPRING CYPRESS RD SUITE D","CYPRESS","TX",77429,(281) 758-2112
"DANCE BOUTIQUE","4531 KUTZTOWN ROAD","TEMPLE","PA",19560,(610) 921-2263
"DANCE BOUTIQUE","13717 N. DALE MABRY HWY","TAMPA","FL","33618",(813) 968-8099
"DANCE BOUTIQUE, A","1138 WEST GRANDA BLVD","ORMOND BEACH","FL",32174,(386) 671-2841
"DANCE BOUTIQUE, THE","317 SW WALNUT STREET","ANKENY","IA",50021,(515) 963-1849
"DANCE BOUTIQUE, THE","5690 EAST COUNTY LINE PLACE","HIGHLANDS RANCH","CO",80126,(720) 443-8870
"DANCE BOUTIQUE, THE","150  INDUSTRIAL DRIVE","HALIFAX","MA",02338,(781) 294-0041
"DANCE BOX, THE","527 NORTH GUIGNARD DRIVE","SUMTER","SC",29150,(803) 773-2847
"DANCE CENTER, THE","225 EAST 14TH STREET","TRAVERSE CITY","MI",49684,(231) 947-6820
"DANCE CITY-USA DANCEWEAR STORE","628 SOUTH MCCLELLAND","SANTA MARIA","CA",93454,(805) 614-0457
"DANCE COLLECTION","1500 S. 336TH ST. #5","FEDERAL WAY","WA",98003,(253) 838-4030
"DANCE COLLECTION, THE","4004 A SOUTH DUPONT HIGHWAY","DOVER","DE",19901,(302) 697-6026
"DANCE CORNER PLUS, THE","1 MORSE COURT","NEW CANAAN","CT",06840,(203) 966-2972
"DANCE COUNTS DANCE SUPPLY, LLC","114 NORTH MAIN STREET","EDWARDSVILLE","IL",62025,(618) 656-1234
"DANCE CROSSROADS","500 WASHINGTON STREET SUITE 2","NORWOOD","MA",02062,(781) 551-2700
"DANCE DEPOT","3681 MCFARLAND ROAD","MOBILE","AL",36695,(251) 635-0056
"DANCE DEPOT","4674 BRENTRIDGE PARKWAY","GREENWOOD","IN",46143,(317) 882-3285
"DANCE DEPOT","2347 N. 6TH #8","ABILENE","TX",79603,(325) 672-3010
"DANCE DEPOT","1635 S  RIDGEWOOD AVE COASTAL CENTRE, UNIT 108","S  DAYTONA","FL",32119,(386) 760-4858
"DANCE DEPOT","1313 W. BOYNTON BEACH BLVD. UNIT #7","BOYNTON BEACH","FL",33426,(561) 736-6901
"DANCE DESIGN","1728 FORDHAM BLVD SUITE 153","CHAPEL HILL","NC",27514,(919) 942-2131
"DANCE DESIGNS","929 RAYNOLDS","EL PASO","TX",79903,(915) 564-5626
"DANCE DIMENSIONS","638 MAIN STREET","LONGMONT","CO",80501,(303) 772-3750
"DANCE DIVA","869 S. MUSTANG RD.","YUKON","OK",73099,(405) 324-6630
"DANCE DYNAMICS","1222 ROYAL DRIVE","PATILLION","NE","68046",(402) 991-7165
"DANCE EMPORIUM, THE","102 CHURCH ST.","DECATUR","GA",30030,(404) 378-3302
"DANCE EMPORIUM, THE","4305 CALDER","BEAUMONT","TX",77706,(409) 895-0909
"DANCE ESSENTIALS","3 CHARLES ST.","NEWPORT","RI",02840,(401) 423-3967
"DANCE ESSENTIALS & MORE INC","4234 CORAL PARK DRIVE","BRUNSWICK","GA",31520,(912) 265-1111
"DANCE ETC","360 E. VIRGINIA AVE.","VINTON","VA","24179",(540) 345-6232
"DANCE ETC","3013 BARROW DRIVE","RALEIGH","NC",27616,(919) 981-0804
"DANCE ETC. OF NORFOLK","110 N. 2ND STREET","NORFOLK","NE",68701,(402) 379-2114
"DANCE EXCHANGE","219 WEST BROADWAY","MUSKOGEE","OK",74401,(918) 686-9393
"DANCE EXCHANGE, INC","4406 WRIGHTSVILLE AVE.","WILMINGTON","NC",28403,(910) 793-3116
"DANCE EXPRESSIONS","2609 WEST VERNON AVE","KINSTON","NC","28504",(252) 527-8680
"DANCE FACTORY WEAR, THE","11606 SAN VICENTE BLVD","LOS ANGELES","CA",90049,(310) 826-4554
"DANCE FANTASTIC","240 LONGMIRE","CONROE","TX",77304,(936) 539-5255
"DANCE FANTASY","28 MARKET COURT SUITE 100","HATTIESBURG","MS",39402,(601) 261-2540
"DANCE FASHIONS","6142 ROSWELL RD","ATLANTA","GA",30328,(404) 256-9739
"DANCE FASHIONS SUPER STORE","10400 ALPHARETTA STREET SUITE A","ROSWELL","GA",30075,(770) 998-0002
"DANCE FUSION","2964 I-70BUSINESS LOOP #5","GRAND JUNCTION","CO","81503",(970) 255-8322
"DANCE GEAR","2100 ARMORY DR.","SANTA ROSA","CA",95401,(707) 526-5858
"DANCE GEAR","575 N. 1200 WEST","OREM","UT",84057,(801) 404-5400
"DANCE GEAR & ACESSORIES","563 BARTON BLVD, #15","ROCKLEDGE","FL",32955,(321) 433-2500
"DANCE HOUSE, THE","616 BUTTERMILK PIKE","CRESCENT SPRINGS","KY",41017,(859) 344-6606
"DANCE IN THE LIGHT","NORTHFIELD SQUARE MALL 1600 N RT. 50  SUITE 220","BOURBONNAIS","IL","60914",(815) 929-0231
"DANCE LINE","30 WEST LANCESTER AVE","PAOLI","PA",19301,(610) 251-2344
"DANCE LINE, THE","2115-A  S. MINNESOTA AVE","SIOUX FALLS","SD",57105,(605) 335-8242
"DANCE MAGIC","334 WEST TABERNACLE","ST. GEORGE","UT",84770,(435) 656-2442
"DANCE MAX DANCEWEAR, LLC","3016 CANTON ROAD","MARIETTA","GA",30066,(404) 285-0341
"DANCE 'N TEES","1065 NORTH SALEM DRIVE","SCHAUMBURG","IL",60194,(847) 884-5925
"DANCE N THINGS","7954 B CRESTWOOD BLVD","BIRMINGHAM","AL",35210,(205) 956-8495
"DANCE N THINGS","1209 EASTRIDGE DRIVE","SLIDELL","LA",70458,(985) 643-2162
"DANCE 'N THINGS","8 N. MAIN ST.","ENGLEWOOD","OH",45322,(937) 836-2032
"DANCE 'N' THINGS LLC","79 EAST MAIN STREET SUITE C","SMITHTOWN","NY",11787,(631) 360-4339
"DANCE OF IOWA","2100 NORCOR AVE","CORALVILLE","IA","52241",(319) 337-4976
"DANCE OF IOWA NORTH","225 NORTHLAND COURT NE","CEDAR RAPIDS","IA",52402,(319) 373-8484
"DANCE OUTFITTERS, INC","1036 VOLVO PARKWAY SUITE 1","CHESAPEAKE","VA",23320,(757) 548-6688
"DANCE PLUS","8433 SW 132ND STREEET","MIAMI","FL",33156,(305) 255-4367
"DANCE PRO SHOP","32 COTTAGE PARK AVE","CAMBRIDGE","MA",02140,(617) 497-1448
"DANCE RAGGS","1245 VETERAN MEMORIAL HWY SUITE 46, HAWTHORNE PLAZA","MABLETON","GA",30126,(770) 944-8729
"DANCE SHOP","2100 NORCOR AVE.","CORALVILLE,","IA","52241",(319) 351-7593
"DANCE SHOP","1201 2ND ST.","SAN RAFAEL","CA",94901,(415) 459-4008
"DANCE SHOP","1019 MORRO ST.","SAN LUIS OBISPO","CA",93401,(805) 543-1955
"DANCE SHOP, THE","1871 CABANOSE AVE.","LUTCHER","LA","70071",(225) 869-8012
"DANCE SHOP, THE","517 HOLCOMBE AVE","MOBILE","AL",36606,(251) 473-3623
"DANCE SHOP, THE","2232 OLD EMMORTON ROAD","BEL AIR","MD",21015,(410) 569-0316
"DANCE SHOP, THE","3318 NORTH MIDKIFF","MIDLAND","TX",79705,(432) 697-1117
"DANCE SHOP, THE","2485 FOREST PARK BLVD","FT WORTH","TX",76110,(817) 923-0017
"DANCE SHOP,THE:  SAMFAM, INC","3614 SIXTH AVENUE","ALTOONA","PA",16602,(814) 941-1915
"DANCE SHOPPE","8712 COUNTRYSIDE PLAZA","OMAHA","NE",68114,(402) 399-8580
"DANCE SHOPPE","3841 SOUTH 48TH STREET","LINCOLN","NE",68506,(402) 466-1993
"DANCE SHOPPE, INC.","512 N.W. ENGLEWOOD RD.","KANSAS CITY","MO",64118,(816) 455-1995
"DANCE SHOPPE, THE","1204 OLYMPIC DRIVE","OXFORD","AL",36203,(256) 831-1229
"DANCE SHOPPE, THE","39 EAST FORREST AVE","SHREWSBURY","PA",17361,(717) 227-2174
"DANCE SHOWCASE","2505 N BEN JORDAN","VICTORIA","TX",77901,(361) 576-4425
"DANCE SPORT","926 24TH AVE. S.W.","NORMAN","OK",73069,(405) 447-3456
"DANCE STATION, THE","3201 E. JUDGE PEREZ SUITE 103","MUREAUX","LA",70075,(504) 279-3469
"DANCE STATION, THE  LLC","125 W. MAIN STREET","ELKTON","MD",21921,(410) 996-9445
"DANCE STORE","2509 S. ROBERTSON BLVD","LOS ANGELES","CA","90034",(310) 271-3664
"DANCE STORE, THE","2613 SHERIDAN AVE","CODY","WY",82414,(307) 527-9973
"DANCE STORE, THE","4658 COMMERCIAL DRIVE","NEW HARTFORD","NY",13413,(315) 768-0203
"DANCE STORE, THE","983 N. STATE STREET","OREM","UT",84057,(801) 224-4450
"DANCE STUF ETC.","3618 WEST 80TH LANE","MERRILLVILLE","IN",46410,(219) 736-9532
"DANCE STYLE","1260 S MILLEDGE AVENUE SUITE D","ATHENS","GA",30605,(706) 357-9441
"DANCE SUPPLIES ETC INC","537-C BALTIMORE ANNAPOLIS BLVD","SEVERNA PARK","MD",21146,(410) 647-8727
"DANCE SUPPLIES UNLIMITED","27652 CAMINO CAPISTRANO STE D","LAGUNA NIGUEL","CA",92677,(949) 334-2687
"DANCE SUPPLY","1516 SE 8TH TERRACE","CAPE CORAL","FL",33990,(239) 772-3440
"DANCE SUPPLY ETC.","133 O'FALLON PLAZA","O FALLON","MO",63366,(636) 978-9432
"DANCE SYNERGY","140 MORSE RD.","COLUMBUS","OH",43214,(614) 848-4998
"DANCE TEN AT NEWTOWN","182 N. PINE STREET","LANGHORN","PA",19047,(215) 750-3960
"DANCE THINGS & MORE","318 E. BROADWAY","ALTON","IL",62002,(618) 462-3656
"DANCE THIS WAY","79 COMMONWEALTH AVE","CONCORD","MA",01742,(978) 318-1960
"DANCE THREADZ","16481 SPRINGDALE STREET","HUNTINGTON BEACH","CA",92649,(714) 377-9902
"DANCE TOGS","3835 S.W. HALL BLVD.","BEAVERTON","OR",97005,(503) 644-7545
"DANCE TUMBLE & CHEER!","127 BROADWAY, SUITE 2","FARMINGTON","ME","04938",(207) 860-2582
"DANCE UNIQUE","112 W. MITCHELL HAMMOCK DR. SUITE 1128","OVIEDO","FL",32765,(407) 366-4585
"DANCE UNIVERSE","531 SOUTH MAIN","JOPLIN","MO",64801,(417) 781-5678
"DANCE VILLAGE","171 C SPENCER ST","MANCHESTER","CT",06040,(860) 645-6606
"DANCE WAVES STUDIO SHOP","334 SOUTH 48TH","QUINCY","IL",62305,(217) 224-5104
"DANCE WEAR ETC.","1506 S. SALISBURY BLVD.","SALISBURY","MD",21801,(410) 742-3316
"DANCE WEAR ETC.","1603 W. GORE BLVD. #B","LAWTON","OK",73501,(580) 353-5737
"DANCE WEAR UNLIMITED","4718 LEBANON RD","HERMITAGE","TN",37076,(615) 885-4498
"DANCE WEARHOUSE","2400 CYPRESS STREET SUITE 44","WEST MONROE","LA",71291,(318) 322-4875
"DANCE WITH US","1706 TALLEY HO STREET","CULLMAN","AL",35055,(256) 775-8438
"DANCE WORKS","3228 N. UNIVERSITY AVE.","PROVO","UT",84604,(801) 375-4622
"DANCE WORLD","19651 MIDDLEBELT ROAD","LIVONIA","MI",48152,(248) 477-0520
"DANCE WORLD","3827 EL CAJON BLVD.","SAN DIEGO","CA",92105,(619) 280-2150
"DANCE XTREME","6860 S. CLINTON CT. SUITE  E","ENGLEWOOD","CO",80112,(303) 708-1592
"DANCEGEAR","1007 WEST ORANGE BLOSSOM TRAIL","APOPKA","FL",32712,(407) 889-9898
"DANCE'N STUFF","8011-3 MERRILL ROAD","JACKSONVILLE","FL",32277,(904) 743-6080
"DANCE'N TEES","1500 CARLEMONT DR. SUITE L","CRYSTAL LAKE","IL","60014",(815) 477-0587
"DANCE'N TEES","109 E. COOK STREET","LIBERTYVILLE","IL","60048",(847) 884-5924
"DANCE'N TEES/ SCHAUMBURG","1065 N. SALEM DRIVE","SCHAUMBURG","IL","60194",(713) 935-9114
"DANCE-N-DUDS","5311 LOOP 205","TEMPLE","TX",76502,(254) 774-8406
"DANCE-N-STUFF","3313 E SILVER SPRING BLVD.","OCALA","FL",34470,(352) 369-7344
"DANCE-N-THINGS","6015 LOHMAN FORD #109","LAGO VISTA","TX",78645,(512) 267-2679
"DANCEON","30 MESSER STREET","LACONIA","NH",03246,(603) 528-3267
"DANCER DE JOUR","1283 EL CAMINO REAL","MENLO PARK","CA",94025,(650) 321-4000
"DANCER STORE, THE","101 6TH STREET SUITE 11","NORTH WILKSBORO","NC",28659,(336) 667-3262
"DANCER THE","214 TALLYWOOD SHOP CENTER","FAYETTEVILLE","NC",28303,(910) 484-7071
"DANCERS AVENUE","6787 WEST Q AVE","KALAMAZOO","MI",49009,(269) 544-0224
"DANCER'S BAG","319 W. 18TH STREET","CHEYENNE","WY",82001,(307) 634-9945
"DANCER'S BAG, THE","133 EAST WATER STREET","SANDUSKY","OH",44870,(419) 621-0878
"DANCERS BOUTIQUE","5741 N. ORACLE RD.","TUCSON","AZ",85704,(520) 887-1958
"DANCER'S BOUTIQUE","3207 CASCADE DRIVE, STE# G","VALPARAISO","IN",46383,(219) 462-3160
"DANCER'S BOUTIQUE","1210 N. MAYFLOWER DRIVE","APPLETON","WI",54913,(920) 734-5866
"DANCER'S BOUTIQUE","143A JOHN FITCH HWY","FITCHBURG","MA",01420,(978) 343-6171
"DANCERS' BOUTIQUE","1220-B RICHMOND RD","WILLIAMSBURG","VA","23185",(757) 220-6703
"DANCER'S BOUTIQUE, THE","224 MAIN ST.","EAST HAVEN","CT",06512,(203) 469-6637
"DANCER'S BOUTIQUE, THE","2414 E.STADIUM BLVD.","ANN ARBOR","MI",48104,(734) 973-1178
"DANCER'S BOUTIQUE, THE","451 HWY 74 SOUTH","PEACHTREE","GA","30269",(770) 631-8948
"DANCER'S CHOICE","27131 ALISO CREEK ROAD SUITE 160","ALISO VIEJO","CA",92656,(949) 305-7230
"DANCER'S CHOICE","UNIVERSITY CENTER 4237 CAMPUS DRIVE SUITE B155","IRVINE","CA","92612",(949) 387-2003
"DANCER'S CLOSET","3267 BEE CAVES ROAD #133","AUSTIN","TX",78746,(512) 327-0200
"DANCER'S CLOSET","4180-1 JOG ROAD","LAKE WORTH","FL",33463,(561) 965-2878
"DANCER'S CLOSET","1762 LYTER DR","JOHNSTOWN","PA","15905",(814) 255-2971
"DANCER'S CLOSET","401 SILAS DEANE HIGHWAY","WETHERSFIELD","CT",06109,(860) 436-3552
"DANCER'S CLOSET","661 ANDERSON ST.","WINNEMUCCA","NV",89445,(775) 623-9001
"DANCER'S CLOSET #2","107 RR 620 SOUTH #106","LAKEWAY","TX","78734",(512) 266-0900
"DANCER'S CLOSET II, INC","4742 LITTLE ROAD","ARLINGTON","TX",76017,(817) 572-4009
"DANCER'S CLOSET LLC","535 HIGH STREET","EUGENE","OR",97401,(541) 868-1708
"DANCER'S CLOSET, THE","687 RIVER ROAD","NEW MILFORD","NJ",07646,(201) 986-0900
"DANCER'S CLOSET, THE","2059 LISTRAVIA AVE","MORGANTOWN","WV",26505,(304) 296-3294
"DANCER'S CLOSET, THE","112 DANIEL WEBSTER HWY","NASHUA","NH",03060,(603) 888-6700
"DANCER'S CLOSET, THE","253 E. PITTSBURGH STREET","GREENSBURG","PA",15601,(724) 832-1501
"DANCER'S CLOSET, THE","210 NORTH TOWNE COURT","NEWARK","OH",43055,(740) 366-2286
"DANCER'S DEN","343 SANDERSON STREET","ALCOA","TN",37701,(865) 980-2014
"DANCER'S DEN, THE","8020 MESA DRIVE","AUSTIN","TX",78731,(512) 345-7710
"DANCERS DRAWER, THE","41 N. WASHINGTON ST.","N. ATTLEBORO","MA",02760,(508) 643-1357
"DANCER'S DREAM","597 WASHINGTON ST","WHITMAN","MA",02382,(781) 447-0771
"DANCER'S DREAMS & GIFTS","1309 WOODSIDE AVE","ESSEXVILLE","MI",48732,(989) 891-0199
"DANCER'S EDGE","306 WINTHROP ST.   STE. 3","TAUNTON","MA",02780,(508) 822-0011
"DANCER'S IMAGE","849 WASHINGTON STREET","NEWTONVILLE","MA",02460,(617) 964-4070
"DANCERS LAIR","14452 HIGHWAY 44 SUITE D","GONZALES","LA",70737,(225) 622-7008
"DANCER'S LOFT INC, THE","150 S. BOSTIAN ST.","CHINA GROVE","NC",28023,(704) 857-6312
"DANCERS NOOK, THE","209 NORTH WASHINGTON","ENID","OK",73701,(580) 242-2622
"DANCER'S PLACE A","14 PATTON AVE","ASHVILLE","NC",28801,(828) 253-1434
"DANCER'S PLACE, THE","64 ENTERPRISE ROAD","HYANNIS","MA",02601,(508) 771-2233
"DANCERS POINTE","4954 DARROW ROAD","STOW","OH",44224,(330) 655-5542
"DANCER'S POINTE","122 LOUISIANA AVE","PERRYSBURG","OH",43551,(419) 874-0330
"DANCER'S POINTE, INC","201 WEST MAIN STREET","HUMMELSTOWN","PA",17036,(717) 583-1820
"DANCER'S SHOP","1935 STATE STREET","HAMDEN","CT",06517,(203) 498-7837
"DANCERS' SHOP, THE","107B SHERMAN AVE.","RARITAN","NJ",08869,(908) 526-3170
"DANCER'S SHOPPE, THE","147 NORTH PETERS ROAD","KNOXVILLE","TN",37923,(865) 692-1922
"DANCER'S WARDROBE, THE","101 WASHINGTON SQUARE PLAZA SUITE 102A","FREDERICKSBURG","VA",22405,(540) 899-9880
"DANCERS WAREHOUSE","91 MEDWAY STREET","MILFORD","MA","01757",(508) 634-3262
"DANCER'S WAREHOUSE","330 WASHINGTON","WELLESLEY","MA","02481",(781) 237-5526
"DANCER'S WEARHOUSE","2655-D TAPO CANYON ROAD","SIMI VALLEY","CA",93063,(805) 578-4622
"DANCER'S WORLD","2848 PINE GROVE AVE.","PORT HURON","MI",48060,(810) 984-3870
"DANCER'S WORLD INC.","2348 WHITNEY AVE","HAMDEN","CT",06518,(203) 248-9304
"DANCERXISE","8871 SW 24TH ST.","MIAMI","FL","33165",(305) 225-7377
"DANCESTUFF","2209-A HAMILL RD.","HIXSON","TN",37343,(423) 877-0764
"DANCEWARE LLC","2606 MCDOWELL","AUGUSTA","GA",30904,(706) 738-9996
"DANCEWARES, INC.","2150 WINTHROP ROAD","LINCOLN","NE",68502,(402) 488-2111
"DANCEWEAR CENTER","8425- 122ND AVE NORTH EAST","KIRKLAND","WA",98033,(425) 827-6343
"DANCEWEAR CENTER","3834 LIBERTY STREET","ERIE","PA",16509,(814) 864-8881
"DANCEWEAR CONNECTION","300 WEST CANAL STREET","PICAYUNE","MS",39466,(601) 749-9355
"DANCEWEAR ETC","119 N. MAIN STREET","KERNERSVILLE","NC",27284,(336) 993-8747
"DANCEWEAR ETC","4353 GANNON LANE #108","DALLAS","TX",75237,(972) 780-8657
"DANCEWEAR ETC.","699  MAST ROAD","MANCHESTER","NH",03102,(603) 625-9546
"DANCEWEAR ETC.","11043 FUQUA","HOUSTON","TX",77089,(713) 944-3016
"DANCEWEAR EXPRESS","3910 BUFFAL0 RD","ROCHESTER","NY",14624,(585) 594-5430
"DANCEWEAR GALLERY","845 NE 125TH STREET","NORTH MIAMI","FL",33161,(305) 892-9961
"DANCEWEAR GALLERY","44926 FORD ROAD","CANTON","MI",48187,(734) 207-7730
"DANCEWEAR GALORE & MORE","1305 CEDARCREST ROAD","DALLAS","GA",30132,(770) 529-3445
"DANCEWEAR HOUSE","128 WATER STREET","HALLOWELL","ME",04347,(207) 623-3488
"DANCEWEAR HOUSE, THE","1491 N. MILPITAS BLVD","MILPITAS","CA",95035,(408) 262-9216
"DANCE-WEAR HOUSE, THE","5390 FULTON DRIVE N.W.","CANTON","OH",44718,(330) 497-9419
"DANCEWEAR INC.","3535 E. LITTLE COTTONWOOD LANE","SANDY","UT",84092,(801) 255-0449
"DANCEWEAR PLUS!","9153 EAST BELL ROAD","SCOTTSDALE","AZ",85260,(480) 860-4440
"DANCEWEAR TOO","59A SOUTH STATE STREET","WESTERVILLE","OH",43081,(614) 794-3222
"DANCEWEAR UNLIMITED","21 BROADWAY SUITE B","WOODCLIFF LAKE","NJ",07677,(201) 307-1800
"DANCEWEAR UNLIMITED","2385 EAST GAUSE BLVD SUITE #7","SLIDELL","LA",70461,(985) 646-1770
"DANCIN' FEET DANCEWEAR, INC.","16077 EUREKA","SOUTHGATE","MI",48195,(734) 246-8300
"DANCIN' ON THE MOON","405 ROUTE 18 SOUTH","EAST BRUNSWICK","NJ",08816,(732) 238-8808
